trace,n_req,n_req_byte,wss_obj,wss_byte,mean_obj_size_req,mean_obj_size_obj,cold_miss_ratio,byte_cold_miss_ratio,start_clock,end_clock,elapsed_sec
w104.oracleGeneral.bin.zst,3395553,96435152384,1830087,49588928512,28400.426199797206,27096.486949527534,0.5389658179389336,0.5142204609636468,14813321,15423065,6.2384549289999995
w105.oracleGeneral.bin.zst,3375344,97976210432,654126,18557102080,29027.02966927223,28369.30817610063,0.19379535833977218,0.18940416248166164,1858836,2449047,5.344703571987338
w106.oracleGeneral.bin.zst,3275919,32699608576,337644,4723013120,9981.812302440934,13988.14467308763,0.10306848246247846,0.1444363809133322,1835497,2356600,4.7878711039957125
w11.oracleGeneral.bin.zst,46173369,1780790414848,2644480,81287552000,38567.47847115076,30738.576960309776,0.05727284054148182,0.04564689439152127,4369618,4954169,80.19191409202176
w12.oracleGeneral.bin.zst,45355529,235183665152,417995,8178838016,5185.33617261966,19566.83217741839,0.009215965709494867,0.034776386407253196,4369711,4928493,61.175162462022854
w13.oracleGeneral.bin.zst,39822877,1231092555776,5561707,203545870336,30914.204309648445,36597.733454135574,0.13966110484684469,0.1653375852051173,25935957,26411708,69.07191532099387
w14.oracleGeneral.bin.zst,34816425,3055089499648,8932576,757407466496,87748.51236587329,84791.60619467442,0.2565621254910577,0.24791662129154207,2951505,3561252,57.935992205981165
w15.oracleGeneral.bin.zst,33628757,263555460096,5558760,67003349504,7837.2049283891165,12053.650365189358,0.16529781341605937,0.2542286525940083,4369946,4863894,54.181759041995974
w16.oracleGeneral.bin.zst,26702188,389290340864,8143839,93069973504,14578.967868251097,11428.267860403428,0.3049877036293805,0.23907598965193522,3254562,3753669,43.0113199139887
w17.oracleGeneral.bin.zst,31398089,389816849920,2731428,47919264256,12415.304954387511,17543.667362273507,0.08699344727636131,0.1229276370835027,2053142,2612974,50.89178270299453
w18.oracleGeneral.bin.zst,22466283,383971513344,3675624,74339666944,17091.012044315474,20225.046670714957,0.1636062360649512,0.19360724522654654,4798937,5300904,35.82214144300087
w19.oracleGeneral.bin.zst,31116216,1599377871360,723012,38680768000,51400.140407818224,53499.48271951226,0.023235858756090393,0.024184883818048925,14677952,15279596,50.120843487995444
w20.oracleGeneral.bin.zst,29842317,3268648408576,10999689,1147122990592,109530.65100729276,104286.85670949424,0.3685936651634657,0.35094719504926775,2846719,3456468,50.21855557602248
w21.oracleGeneral.bin.zst,29416348,3067053690880,4507350,400996534272,104263.57788805055,88965.03139804985,0.1532260224824645,0.13074323917588346,13251339,13849899,46.312908991996665
w22.oracleGeneral.bin.zst,22248591,237699686912,7813606,71357638656,10683.80855722504,9132.484880348458,0.3511955431245062,0.3002008104554958,3252555,3759249,37.74836063099792
w23.oracleGeneral.bin.zst,27914470,655935213056,2845640,78245278720,23498.03571609993,27496.54865689265,0.10194139455271764,0.1192881204768006,25925600,26428914,46.53676898899721
w24.oracleGeneral.bin.zst,27165370,403513665024,5366520,100767654400,14853.972724244139,18777.09472805468,0.19755004257258413,0.24972550655504216,2009966,2538154,44.615563242987264
w25.oracleGeneral.bin.zst,26569398,1358118967808,3673364,161147826688,51115.910409712706,43869.278048132444,0.13825544711250137,0.11865516240310826,25935010,26413086,41.325548169988906
w26.oracleGeneral.bin.zst,26532121,614972544000,3045564,152018686976,23178.41622989734,49914.789830717724,0.11478780757859501,0.24719589266086,2270721,2880440,40.56853373599006
w27.oracleGeneral.bin.zst,19501541,173303401856,4330076,48981732032,8886.651667988699,11311.979750932778,0.222037632820914,0.28263572155784655,3254564,3735305,33.16806006900151
w28.oracleGeneral.bin.zst,19739621,644009863104,5944304,229001259200,32625.239517212616,38524.4865000175,0.30113567023399285,0.3555865714482373,9957434,10564668,32.76688452399685
w29.oracleGeneral.bin.zst,19087784,156482346368,4906097,50400624832,8198.036313068085,10273.059181667219,0.2570281076106058,0.32208505305430873,3254564,3753840,32.39180053700693
w30.oracleGeneral.bin.zst,21390010,459442672640,1154006,30482354688,21479.31079228107,26414.381457288782,0.05395069941528779,0.06634637247090171,4369715,4954726,36.3165482970071
w31.oracleGeneral.bin.zst,21166982,6653911567872,12906371,2807155469824,314353.34370634414,217501.5323690912,0.6097407273271173,0.42188048957220536,27144874,27751990,38.21543990599457
w32.oracleGeneral.bin.zst,20776392,230621798912,3690399,47867270656,11100.185196351706,12970.757540309327,0.1776246328043868,0.20755744201902204,50134968,50741836,32.472298642998794
w33.oracleGeneral.bin.zst,19868346,166166974464,1446572,9092542464,8363.402492789284,6285.578916224011,0.07280787238152588,0.05471931166424346,2885979,3493252,27.303887163987383
w34.oracleGeneral.bin.zst,19553551,1060352506880,5140683,220393296384,54228.130065991594,42872.376371777835,0.2629027842564248,0.2078490831624373,1019938,1615061,32.76241827601916
w35.oracleGeneral.bin.zst,15415663,374675768320,606350,55901653504,24304.875393293172,92193.70578708667,0.039333371519603144,0.14920007705503915,7561693,8168955,23.470850250014337
w36.oracleGeneral.bin.zst,18915625,158893809664,1248956,8338862080,8400.135320085908,6676.666015456109,0.06602774161572773,0.052480723431790846,11520367,12127699,26.865217521990417
w37.oracleGeneral.bin.zst,18840688,119716423168,5087576,49989267456,6354.142861874258,9825.753454297292,0.27003132794301354,0.4175639910812341,27145477,27561618,31.186225130979437
w38.oracleGeneral.bin.zst,18535323,188381877760,2013253,29491339776,10163.39870419307,14648.600933911435,0.10861709828309979,0.15655083241909395,1826884,2436679,27.974055262980983
w39.oracleGeneral.bin.zst,17920022,160745086976,608255,6138722304,8970.138930409796,10092.349925606859,0.03394275966848701,0.03818917529290671,2881601,3488853,24.390585418004775
w40.oracleGeneral.bin.zst,17657232,152974864896,881317,7013036544,8663.581296094428,7957.450660772458,0.04991252309535266,0.04584437154932488,11520367,12127688,25.00198538598488
w41.oracleGeneral.bin.zst,17004738,141383815168,684962,10001436672,8314.377743897025,14601.447484677981,0.04028065589719759,0.07073961513993483,2881602,3488851,21.65975308700581
w42.oracleGeneral.bin.zst,16894445,335594935296,2451919,61945200128,19864.217812186194,25263.966765623172,0.14513166901901778,0.18458323893762985,1826920,2436681,26.903997379995417
w43.oracleGeneral.bin.zst,15617420,506609643520,3722583,128844668928,32438.75387355914,34611.63093690591,0.23836094566195953,0.2543273121150396,19932151,20492184,24.35797452798579
w44.oracleGeneral.bin.zst,12116074,131495457280,1825486,19075001856,10852.975747754594,10449.2731557514,0.15066646175980766,0.1450620595613628,7561692,8128410,18.7739038989821
w45.oracleGeneral.bin.zst,15064629,172753362944,326828,2898513920,11467.482069687876,8868.621782711396,0.021695058006406927,0.016778335718648712,2881602,3488850,20.05546911302372
w46.oracleGeneral.bin.zst,11550125,2305536036160,4593832,1332354012864,199611.34932825403,290031.07054502645,0.39773006785640846,0.5778933800935554,0,2886885,19.175926945987158
w47.oracleGeneral.bin.zst,14314717,149668593664,298214,3151134720,10455.574753171859,10566.6894243731,0.020832685689839345,0.021054081172661856,11520366,12127666,18.899542232014937
w48.oracleGeneral.bin.zst,14097008,1279483081216,3600621,220604668416,90762.740662132,61268.50574275937,0.2554173906973735,0.17241702657477964,2242353,2799837,22.07051345499349
w49.oracleGeneral.bin.zst,11151558,398108953664,1594732,80910297280,35699.85051990045,50735.984027410246,0.14300530921329557,0.2032365676163302,4623263,5230527,16.736565635015722
w50.oracleGeneral.bin.zst,13448032,301060619776,1230381,49697573888,22386.964856716582,40392.019941790386,0.09149152827714865,0.16507497368794627,23073028,23585667,22.066555985977175
w51.oracleGeneral.bin.zst,9551283,241983243004,1736966,23531955212,25335.15581142345,13547.735080594553,0.1818568248893892,0.09724621804333375,9957428,10564672,14.163856002996909
w52.oracleGeneral.bin.zst,11451546,86171163648,694839,7844737024,7524.849801764757,11290.00678430543,0.06067643617726375,0.09103668433729076,27145256,27719078,15.373756947985385
w53.oracleGeneral.bin.zst,8973978,792288740864,5348665,598338395328,88287.35047756971,111866.86684023023,0.5960194018750659,0.7552024463650778,9970545,10053611,15.718571860983502
w54.oracleGeneral.bin.zst,8832954,2893612664350,7344011,2768030114047,327592.86014056,376909.85403575783,0.8314331762624372,0.9566000827096843,7049656,7656720,17.02028421900468
w55.oracleGeneral.bin.zst,8855434,65787165504,7281718,41211979968,7429.016522962059,5659.650643982643,0.82228810016539,0.6264440738899781,9957424,10458465,15.650591023993911
w56.oracleGeneral.bin.zst,10899629,119216918528,439006,14923640832,10937.704258374299,33994.16142831761,0.04027715071769874,0.12518056175470552,4369591,4938757,16.03517205498065
w57.oracleGeneral.bin.zst,10554725,125449314304,458321,15602495488,11885.607091042164,34042.72439622012,0.043423300938679125,0.1243729037066766,4395297,4942080,15.619538670027396
w58.oracleGeneral.bin.zst,10530695,282659525632,1351351,39815366144,26841.488204909554,29463.378607038438,0.12832495860909465,0.14085980670552886,27145105,27749672,14.997082643996691
w59.oracleGeneral.bin.zst,10223136,139036520960,1025107,11064772096,13600.183051462878,10793.77284127413,0.10027324296575924,0.07958176757877357,23470520,24073907,17.135437529010233
w60.oracleGeneral.bin.zst,9898835,163493542400,1429630,35207911424,16516.442833929446,24627.28917552094,0.14442406606433988,0.21534741315874747,1826886,2436658,15.180770563019905
w61.oracleGeneral.bin.zst,9884691,280028687872,1046466,31127627776,28329.53380859351,29745.474555312834,0.1058673457774249,0.11115871024695982,1982552,2573123,16.911225133982953
w62.oracleGeneral.bin.zst,9497745,85656923136,4683074,39620609024,9018.65896968175,8460.385000108903,0.49307219766376126,0.4625499909808014,25925328,26426167,16.090402064000955
w63.oracleGeneral.bin.zst,9380316,188067363328,4797750,62374008320,20049.150084922512,13000.679135011203,0.5114699760647722,0.33165780184420535,2270541,2880316,15.920793640019838
w64.oracleGeneral.bin.zst,7458266,469343305552,6435308,426016347656,62929.2794802438,66199.83808949005,0.8628423818619502,0.9076860000271173,9981517,10061526,13.674826357018901
w65.oracleGeneral.bin.zst,9316229,362839656960,2278384,58606714368,38947.05217744218,25722.930975638876,0.2445607552154418,0.16152235083405145,25925600,26436239,15.12108733097557
w66.oracleGeneral.bin.zst,9169631,179021337600,86697,2956701184,19523.286989411023,34103.84654601659,0.009454797035998504,0.016515914938622377,19794500,20401207,13.62075528097921
w67.oracleGeneral.bin.zst,9028144,83543435264,325367,6199933952,9253.666674346356,19055.202131746613,0.03603919033635263,0.07421210215270661,4369643,4976762,12.215237172000343
w68.oracleGeneral.bin.zst,8875971,160011631104,816544,22198114816,18027.50719938134,27185.44844613395,0.09199489272779282,0.13872813284161994,15359300,15926866,14.427449812996201
w69.oracleGeneral.bin.zst,7874006,172734042112,1328886,33812690944,21937.250506540127,25444.3879640541,0.1687687309356889,0.19575001273967757,50117376,50724165,12.751444913999876
w70.oracleGeneral.bin.zst,6928385,173709149696,506904,34524692480,25072.09828784053,68108.93676120133,0.07316337068451018,0.19874999411614183,23083131,23598126,10.704265382984886
w71.oracleGeneral.bin.zst,6840776,55244701184,673334,7380066304,8075.794498168044,10960.48365892707,0.09842947642197318,0.1335886726840948,27145606,27563270,9.649722547997953
w72.oracleGeneral.bin.zst,6407185,76259030016,430716,7460100608,11902.111460181031,17320.23098282859,0.06722390566215897,0.09782579986179718,2579476,3186458,9.268795166019117
w73.oracleGeneral.bin.zst,6368815,53846884864,601227,7239647744,8454.772962317165,12041.45479827087,0.0944017058118347,0.13444877567727517,50235444,50842132,9.88654123901506
w74.oracleGeneral.bin.zst,6343762,61655374848,296768,4742154240,9719.055482850712,15979.33146430882,0.04678107406929831,0.07691388223153148,4369706,4955381,8.946520958008477
w75.oracleGeneral.bin.zst,6152624,175959558656,406375,20141074432,28599.1080644616,49562.779285143035,0.06604905484229168,0.11446422454022911,2952272,3559394,8.118526314006886
w76.oracleGeneral.bin.zst,6076272,45152723968,703377,8824088576,7430.991234098803,12545.318621450517,0.115757984501023,0.19542760215870217,4369530,4928259,8.913903947017388
w77.oracleGeneral.bin.zst,5616402,103760578048,1063317,18911637504,18474.56397316289,17785.512226363353,0.18932352064542388,0.1822622604825063,23455267,24062302,8.368216147995554
w78.oracleGeneral.bin.zst,5493106,161518027776,813801,36961037312,29403.770430790886,45417.78310913847,0.1481495168671422,0.22883536792102938,4369593,4969210,8.452468556002714
w79.oracleGeneral.bin.zst,5411394,73628114944,4615824,65752913408,13606.127172406963,14245.108437410092,0.8529824292964068,0.8930408371586083,27144874,27751929,8.818277554004453
w80.oracleGeneral.bin.zst,5256246,74657852928,382760,4912216576,14203.645135330424,12833.672734873027,0.07282003163474464,0.06579638153721537,50117376,50724134,7.929537227988476
w81.oracleGeneral.bin.zst,5026619,134678760448,599684,20578993664,26793.110925654004,34316.396075266304,0.1193016618128408,0.15280058708251648,14813200,15423039,7.88883019000059
w82.oracleGeneral.bin.zst,4926610,94119824384,75902,2652601344,19104.378951043414,34947.71341993623,0.01540653715232178,0.02818323728673395,668043,1274742,6.63335299200844
w83.oracleGeneral.bin.zst,3880481,61724072832,741617,21250651328,15906.294305267826,28654.48247275885,0.19111470974861106,0.34428465836724387,7561693,8132762,5.670215022022603
w84.oracleGeneral.bin.zst,4814234,134307237888,720165,21674224640,27897.945527367385,30096.19273360966,0.14959077601961185,0.161377934509191,988110,1594795,6.951463142002467
w85.oracleGeneral.bin.zst,4790048,164788668416,690623,23935392768,34402.30002204571,34657.6826546466,0.14417872221739741,0.14524902105268797,13251459,13861290,7.270101811009226
w86.oracleGeneral.bin.zst,4749563,98965466112,4305575,88187959808,20836.751952126964,20482.272358047416,0.9065202419675241,0.8910983120940085,2053581,2452981,7.937818478996633
w87.oracleGeneral.bin.zst,3788806,100740850368,2188363,35383616192,26589.075916792783,16168.988505106328,0.5775864480788935,0.3512340432182761,9952581,10035430,5.984400937013561
w88.oracleGeneral.bin.zst,4711053,72985458176,418027,8133121024,15492.387408080529,19455.970604769547,0.0887332407425686,0.11143481492419316,2579476,3186468,6.575251422997098
w89.oracleGeneral.bin.zst,3625918,66596775424,770712,23420813312,18366.873002643744,30388.541130798534,0.21255637882599662,0.351680890897304,7736503,8343678,5.394209813006455
w90.oracleGeneral.bin.zst,4493515,195714812928,590031,17471964672,43554.948170418924,29611.943562287404,0.1313072283056805,0.08927257171089868,25935902,26383419,6.801232682017144
w91.oracleGeneral.bin.zst,4316605,74666213376,584272,16870989312,17297.439394153505,28875.231590765943,0.13535452050859414,0.2259521214373361,891379,1459011,6.379275718994904
w92.oracleGeneral.bin.zst,4284658,143362238464,606386,23323726336,33459.4356104968,38463.49740264452,0.14152494784881314,0.16269086326980636,14813262,15423036,6.37672164698597
w93.oracleGeneral.bin.zst,3351357,142903025472,1068996,33516863680,42640.347021221554,31353.591295009523,0.31897407527756666,0.2345427157283468,9952635,10530112,5.251031350984704
w94.oracleGeneral.bin.zst,4118188,415852410368,790163,55948722176,100979.46241599461,70806.55785704975,0.19187152213546346,0.134539853037017,23474181,24044971,5.522707855008775
w95.oracleGeneral.bin.zst,3937240,61493926400,415996,8852725760,15618.536436691693,21280.795392263386,0.10565675447775599,0.14396097758363335,24145977,24752792,4.5661958460113965
w96.oracleGeneral.bin.zst,3787344,76539202560,581364,17471862272,20209.202691912855,30053.223577655306,0.1535017679936124,0.2282733774016472,2600130,3209753,5.268627270008437
w97.oracleGeneral.bin.zst,3768450,83595935744,1810588,54563868672,22183.10863723812,30135.99376114279,0.48045960540805904,0.652709586732705,19934874,20502539,4.7155673039960675
w98.oracleGeneral.bin.zst,3664418,83117764608,1745265,53599571968,22682.391748976235,30711.42317527711,0.47627344915345354,0.6448630111840267,19934874,20503654,4.426075494004181
w99.oracleGeneral.bin.zst,3660840,115201945088,437194,20231474688,31468.71895193453,46275.7372882519,0.11942450366582533,0.17561747479650333,13251792,13861593,3.6796807380160317
